function_id,safety_class,reason
effectsize::interpret_icc,safe,Pure effect size computation
effectsize::interpret_ifi,safe,Pure effect size computation
effectsize::interpret_kendalls_w,safe,Pure effect size computation
effectsize::interpret_nfi,safe,Pure effect size computation
effectsize::interpret_nnfi,safe,Pure effect size computation
effectsize::interpret_oddsratio,safe,Pure effect size computation
effectsize::interpret_omega_squared,safe,Pure effect size computation
effectsize::interpret_p,safe,Pure effect size computation
effectsize::interpret_pd,safe,Pure effect size computation
effectsize::interpret_phi,safe,Pure effect size computation
effectsize::interpret_pnfi,safe,Pure effect size computation
effectsize::interpret_r,safe,Pure computation — interprets correlation coefficient magnitude
effectsize::interpret_r2,safe,Pure effect size computation
effectsize::interpret_r2_semipartial,safe,Pure effect size computation
effectsize::interpret_rank_biserial,safe,Pure effect size computation
effectsize::interpret_rfi,safe,Pure effect size computation
effectsize::interpret_rhat,safe,Pure effect size computation
effectsize::interpret_rmsea,safe,Pure effect size computation
effectsize::interpret_rope,safe,Pure effect size computation
effectsize::interpret_srmr,safe,Pure effect size computation
effectsize::interpret_vif,safe,Pure effect size computation
effectsize::is.rules,safe,Pure effect size computation
effectsize::is_effectsize_name,safe,Pure effect size computation
effectsize::kendalls_w,safe,Pure effect size computation
effectsize::logoddsratio_to_arr,safe,Pure effect size computation
effectsize::logoddsratio_to_d,safe,Pure effect size computation
effectsize::logoddsratio_to_nnt,safe,Pure effect size computation
effectsize::logoddsratio_to_r,safe,Pure effect size computation
effectsize::logoddsratio_to_riskratio,safe,Pure effect size computation
effectsize::mad_pooled,safe,Pure effect size computation
effectsize::mahalanobis_d,safe,Pure effect size computation
effectsize::means_ratio,safe,Pure effect size computation
effectsize::nnt,safe,Pure effect size computation
effectsize::nnt_to_arr,safe,Pure effect size computation
effectsize::nnt_to_logoddsratio,safe,Pure effect size computation
effectsize::nnt_to_oddsratio,safe,Pure effect size computation
effectsize::nnt_to_riskratio,safe,Pure effect size computation
